id,title,content,category,release_date,released_by,dev,lessons_learned,modified_date,created_at
1,Version 2.0.0 Released,**Key Highlights:**\n\n- Completely redesigned UI for better user experience\n- Added dark mode support\n- Performance improvements across the board\n- Fixed several critical bugs,feature,2025-03-12 09:12:47.19949+00,Dev Team,Frontend Team,**Lessons Learned:**\n\n- Early user testing proved invaluable for UI decisions\n- Breaking the redesign into smaller PRs helped maintain code quality\n- Need to improve our testing infrastructure for future releases,,2025-03-14 09:12:47.19949+00
2,Everything up-to-date,"**Major improvements in this release:**

- Added dark mode support
- Improved performance by 30%
- Fixed critical bugs",feature,2023-08-15 12:00:00+00,Release Team,Dev Team Alpha,"**Lessons Learned:**

- Cross-platform testing earlier would have helped",2025-03-14 09:53:56.852+00,2025-03-14 09:53:56.852+00
3,Add Automated Changelog System,"Implemented automated changelog generation through webhook integration:
- Created post-push script for automatic updates
- Added Supabase webhook integration
- Implemented smart commit parsing
- Added team and category detection",feature,2025-03-14 10:10:18.069+00,Benjie Malinao,Development team,"**Lessons Learned:**

- Git hooks provide powerful automation capabilities
- Proper commit message formatting improves documentation
- Structured data helps maintain consistent changelogs",2025-03-14 10:10:18.687+00,2025-03-14 10:10:18.687+00
4,Update project configuration and reorganize documentation,,enhancement,2025-03-14 11:15:00.938+00,Benjie Malinao,Frontend team,,2025-03-14 11:15:01.33+00,2025-03-14 11:15:01.33+00
5,Update project configuration and reorganize documentation,"Improved project organization by moving documentation files to appropriate directories.
- Relocated CampaignBuilder.md to the frontend components directory
- Added .gitmessage template for standardized commit messages
- Updated package.json dependencies for better compatibility
- Consolidated configuration files for easier maintenance",feature,2025-03-14 11:19:19.373+00,Benjie Malinao,Frontend team,"**Lessons Learned:**

- Keeping documentation close to the relevant code improves developer experience
- Standardized commit messages help with automated changelog generation
- Regular package updates prevent security vulnerabilities",2025-03-14 11:19:19.983+00,2025-03-14 11:19:19.983+00
6,Enhance changelog script with better validation and documentation,"Improved the post-push-changelog.js script to ensure it correctly captures all required information:
- Added comprehensive documentation with format examples",feature,2025-03-14 11:22:03.212+00,Benjie Malinao,Development team,"**Lessons Learned:**

- Added validation to check for missing fields
- Enhanced error handling and logging
- Added warnings when commit messages don't follow the required format
- Lessons Learned:
- Clear documentation in scripts helps maintain consistent workflows
- Validation checks prevent incomplete data from being submitted
- Proper error handling improves troubleshooting capabilities",2025-03-14 11:22:03.836+00,2025-03-14 11:22:03.836+00
7,New Feature Release v2.5.0,"**Major improvements in this release:**

- Added dark mode support across all platforms
- Improved performance by 30% on mobile devices
- Fixed issue with notifications not appearing on iOS

**Minor updates:**
- Updated dependencies to latest versions
- Refreshed UI elements for better accessibility",feature,2025-03-14 11:24:57.666+00,Sarah Johnson,Dev Team Alpha,"**Lessons Learned:**

- Cross-platform testing earlier in the cycle would have identified iOS issues sooner
- Performance benchmarking helped us measure the actual impact of optimizations
- User research was vital for creating an intuitive dark mode experience",2025-03-14 11:24:58.266+00,2025-03-14 11:24:58.266+00
8,New Feature Release v2.5.0,"**Major improvements in this release:**

- Added dark mode support across all platforms
- Improved performance by 30% on mobile devices
- Fixed issue with notifications not appearing on iOS

**Minor updates:**
- Updated dependencies to latest versions
- Refreshed UI elements for better accessibility",feature,2025-03-14 11:25:11.778+00,Sarah Johnson,Dev Team Alpha,"**Lessons Learned:**

- Cross-platform testing earlier in the cycle would have identified iOS issues sooner
- Performance benchmarking helped us measure the actual impact of optimizations
- User research was vital for creating an intuitive dark mode experience",2025-03-14 11:25:12.236+00,2025-03-14 11:25:12.236+00
9,"Fix LiveChat outbound SMS issues with improved error handling, fallback endpoint strategy, better phone number formatting, and debugging tools",,bugfix,2025-03-14 18:25:34.737+00,Benjie Malinao,Frontend team,,2025-03-14 18:25:35.699+00,2025-03-14 18:25:35.699+00
10,Fix LiveChat Outbound SMS Issues,Key details: - Enhanced error handling and logging in the message sending process - Implemented fallback endpoint strategy for message delivery - Improved phone number formatting for better compatibility - Added debugging tools to the UI for easier troubleshooting,bugfix,2025-03-14 18:27:39.014+00,Benjie Malinao,Frontend team,,2025-03-14 18:27:39.63+00,2025-03-14 18:27:39.63+00
11,Fix LiveChat Outbound SMS Issues,"Key details and bullet points:
- Enhanced error handling and logging in the message sending process
- Implemented fallback endpoint strategy for message delivery
- Improved phone number formatting for better compatibility
- Added debugging tools to the UI for easier troubleshooting",bugfix,2025-03-14 18:29:53.789+00,Benjie Malinao,Frontend team,"**Lessons Learned:**

- Always implement detailed logging throughout critical processes
- Use fallback strategies for essential functionality like messaging
- Properly parse and handle API responses, especially for error cases
- Ensure consistent phone number formatting between frontend and backend
- Add debugging tools to help diagnose issues in production",2025-03-14 18:29:54.218+00,2025-03-14 18:29:54.218+00
12,Automate Changelog Process,"Key details and bullet points:
- Added Git hooks for automatic changelog generation
- Created pre-push hook to validate commit message format
- Created post-commit hook to run changelog script
- Added commit message template for proper formatting
- Created setup script for easy team onboarding",bugfix,2025-03-14 18:34:33.081+00,Benjie Malinao,Development team,"**Lessons Learned:**

- Proper phone number formatting is critical for Twilio SMS delivery
- Comprehensive error handling and logging is essential for debugging message delivery issues
- API endpoint verification and parameter validation should be performed before sending messages
- Clear user feedback for message status helps identify delivery issues quickly
- Fallback strategies are essential for critical functionality like messaging",2025-03-14 18:34:33.631+00,2025-03-14 18:34:33.631+00
13,Fix LiveChat test endpoints and improve error handling,,bugfix,2025-03-14 18:49:28.657+00,Benjie Malinao,Frontend team,,2025-03-14 18:49:29.222+00,2025-03-14 18:49:29.223+00
14,Fix LiveChat test endpoints and improve error handling,"Key details and bullet points:
- Updated API endpoints to match current backend routes
- Added robust error handling for all API calls
- Improved response parsing to handle HTML error responses
- Enhanced user feedback with detailed error messages",bugfix,2025-03-14 18:51:46.328+00,Benjie Malinao,Frontend team,"**Lessons Learned:**

- Always validate API endpoints before deployment
- Implement robust error handling for network requests
- Parse API responses as text first before attempting JSON parsing
- Provide detailed error feedback to users for troubleshooting",2025-03-14 18:51:46.906+00,2025-03-14 18:51:46.906+00
15,Fix LiveChat message sending functionality,"Key details and bullet points:
- Updated primary API endpoint to /api/messages in messageStore.js
- Added workspaceId to primary endpoint payload
- Improved error handling for JSON parsing errors
- Ensured proper fallback to /send-sms endpoint when primary endpoint fails",bugfix,2025-03-14 19:00:02.239+00,Benjie Malinao,Frontend team,"**Lessons Learned:**

- Always parse API responses as text first before attempting JSON parsing
- Implement robust fallback mechanisms for critical functionality
- Test API endpoints thoroughly before deploying to production
- Provide detailed error logging to help diagnose API communication issues",2025-03-14 19:00:02.941+00,2025-03-14 19:00:02.942+00
16,Fix: Replace MdMarkUnread with MdMarkEmailUnread icon,"Replace unavailable MdMarkUnread icon with MdMarkEmailUnread in ContactListItem component.
This fixes the compilation error by using an available icon from react-icons/md package.
The MdMarkEmailUnread icon serves the same purpose of indicating unread messages in the contact list.",bugfix,2025-03-14 19:17:35.513+00,Benjie Malinao,Frontend team,,2025-03-14 19:17:36.115+00,2025-03-14 19:17:36.116+00
17,Fix: Replace MdMarkUnread with MdMarkEmailUnread icon,"Replace unavailable MdMarkUnread icon with MdMarkEmailUnread in ContactListItem component.
Key details:
- Changed import from MdMarkUnread to MdMarkEmailUnread
- Updated references in the getStatusIndicator function
- Fixed compilation error while maintaining the same visual indicator for unread messages",bugfix,2025-03-14 19:18:11.871+00,Benjie Malinao,Frontend team,"**Lessons Learned:**

- Always verify that imported icons exist in the specified package before using them
- Check the available exports in a package when encountering 'export not found' errors
- Use similar alternative icons when the desired one is not available
- Test UI components after making icon changes to ensure visual consistency",2025-03-14 19:18:12.212+00,2025-03-14 19:18:12.212+00
